'File141';'Statement';'Attribute';'Attribute-link';'Deontic';'Aim';'Direct-Object';'Indirect-Object';'Activation-Condition-Content';'Execution-Constraint-Content';'Logical-combination';'Type';'file.outlinks'
'033.009';'033.009';'Assisting Engineer';'Assisting Engineer';'must';'ensure (object) is checked and kept in ready condititon';'Machineries and Pumps';'-';'-';'Log book of machines should be maintained';'-';'1';'033.010 Assisting Engineer 032.004 033.010'
'033.001';'033.001';'(Missing)';'-';'must';'clean';'RWH Structures';'-';'-';'-';'-';'1';''
'Reg-SOP-Stagnation';'033';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'monitor';'areas that experience frequent inundation.';'-';'-';'-';'-';'2';'033.001 033.001 033.001 033.004 033.001 033.006 033.007 033.001 033.009 Greater Chennai Corporation'
'032.010';'032.010';'(Greater Chennai Corporation)';'GCC';'must';'monitor';'Stormwater drains';'-';'-';'-';'-';'2';'GCC'
'032.009';'032.009';'(Missing)';'-';'may';'divert';'traffic';'-';'-';'-';'-';'2';''
'032.007';'032.007';'(Greater Chennai Corporation)';'GCC';'may';'build';'temporary drains';'-';'-';'-';'-';'2';'032.007 GCC'
'032.006';'032.006';'(Missing)';'-';'may';'uncover (manholes) to drain water faster';'Manholes of SWDs';'-';'-';'safety signs must be provided around the manhole.';'-';'2';''
'032.004';'032.004';'(Greater Chennai Corporation)';'GCC';'may';'use';'pumps';'-';'-';'-';'-';'2';'GCC'
'032.003';'032.003';'(Missing)';'-';'must';'ensure water flows (to)';'Storm Water Drains';'-';'-';'-';'-';'2';''
'032.002';'032.002';'(Greater Chennai Corporation)';'GCC';'must';'clean';'garbage in drains';'-';'at all times';'-';'-';'2';'031.001 GCC at all times'
'032.001';'032.001';'(Missing)';'-';'must';'examine and assess';'manhole covers';'-';'-';'-';'-';'2';''
'Reg-SOP-WaterWays-InRain';'032';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'respond (to)';'Rain';'-';'-';'-';'-';'2';'032.001 032.002 032.003 032.004 032.004 032.006 032.007 032.007 032.009 032.010 032.010 032.004 032.007 Greater Chennai Corporation'
'031.009';'031.009';'(Greater Chennai Corporation)';'GCC';'must';'collect garbage';'from streets and around bins.';'-';'at all times';'-';'-';'1';'GCC'
'031.006';'031.006';'(Greater Chennai Corporation)';'GCC';'must';'procure, inventory, maintain, deploy';'Tools (for SWD maintenance)';'-';'-';'-';'-';'1';'GCC'
'031.003';'031.003';'(Greater Chennai Corporation)';'GCC';'must';'Construct and cover';'Missing links between stormwater drains';'-';'-';'-';'-';'1';'GCC'
'031.002';'031.002';'(Greater Chennai Corporation)';'GCC';'must';'clean';'sand and debris';'stormwater drains';'at all times';'-';'-';'1';'031.001 GCC Stormwater Systems'
'031.001';'031.001';'(Missing)';'-';'must';'Clean';'Chute Pipes';'-';'-';'-';'-';'1';''
'Reg-SOP-WaterWays-PreRains';'031';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'prepare for the coming monsoon';'Waterways';'-';'Reg-BeginPreparedness';'-';'-';'1';'031.001 031.002 031.003 031.003 031.001 031.006 031.007 031.008 031.009 031.009 031.010 031.011 Greater Chennai Corporation Reg-BeginPreparedness'
'Reg-BeginPreparedness';'030';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'begin preparedness activities';'-';'-';'in September';'-';'-';'2';'Greater Chennai Corporation'
'Reg-OngoingProjects';'029';'Government of Tamil Nadu';'State Government';'will';'mandate the assessment and inclusion';'of disaster risks';'into the schemes and projects';'-';'-';'-';'3';'State Government'
'Reg-Mainstreaming-DP';'028';'Government of Tamil Nadu';'State Government';'will';'promote the mainstreaming of disaster risk assessments';'into urban planning and land use planning';'-';'-';'-';'-';'3';'State Government'
'Reg-PrivateSector';'027';'(Missing)';'-';'must';'engage and support';'investments in better design and construction';'Private Sector';'-';'-';'-';'3';'Private Sector Citizens'
'Reg-DisasterMitigationFund';'026';'Government of Tamil Nadu';'State Government';'must';'create';'Disaster Mitigation Fund';'-';'-';'-';'-';'3';'State Government'
'Reg-2015-Flood-SeniorIAS';'025';'State Government';'State Government';'must';'appoint for each Zone';'Monitoring Officers';'City Zone';'Due to severe flooding';'for relief coordination';'-';'4';'State Government Monitoring Officers'
'Reg-FloodForecasting';'025';'Government of Tamil Nadu';'Government of Tamil Nadu';'will';'develop and deploy';'flood forecasting Decision Support System';'Under Tamil Nadu Sustainable Urban Development Project';'-';'-';'-';'1';'Government of Tamil Nadu Tamil Nadu Sustainable Urban Development Project'
'024.004';'024.004';'(Missing)';'-';'-';'Stockpiling and inventory';'essential supplies and equipments';'-';'-';'-';'-';'1';'023'
'024.003';'024.003';'(Missing)';'-';'must';'Development and exercise';'cyclone warning methods combined with cyclone shelters and evacuation plans';'-';'-';'-';'-';'1';''
'024.002';'024.002';'(Missing)';'-';'must';'perform training and maintainance';'human resources such as community based disaster response teams';'-';'-';'-';'-';'1';'Reg-CivilDefence 020 019'
'024.001';'024.001';'(Missing)';'-';'must';'make and distribute';'Communication plans';'-';'-';'with easily understandable terminology';'-';'1';''
'023.002';'023.002';'(Relevant Departments) (TANGEDCO, IMD, NDRF, SDRF, Fire Services, Health and Family Welfare, Medical Teams)';'(TANGEDCO,IMD, NDRF, SDRF, Fire Services, Health and Family Welfare,)';'must';'support';'Greater Chennai Corporation';'-';'at all times';'-';'-';'4';'TANGEDCO IMD NDRF Fire Services TANGEDCO IMD NDRF Fire Services TANGEDCO IMD NDRF SDRF Fire Services Health and Family Welfare Greater Chennai Corporation'
'Reg-CycloneResponse';'023';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'mobilise';'human resources, saws, excavators and lorries';'Departments to support';'-';'-';'-';'3';'Greater Chennai Corporation 023.001 023.002 023.003'
'Reg-CoordinationMeetings';'022';'Chief Secretary';'Chief Secretary';'must';'convene meeting';'with all central and state agencies';'-';'Annually, prior to NE monsoon';'-';'-';'1';'Chief Secretary Commissioner of Revenue Administration'
'Reg-CivilDefence';'021';'State Government - State Disaster Management Authority (SDMA)';'-';'must';'establish';'Civil Defence Corps';'connected to NCC, NSS, NyKS';'-';'-';'-';'3';'State Disaster Management Authority (SDMA)'
'020';'020';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'maintain';'a database of volunteers and NGOs';'Volunteer';'at all times';'who can support relief work, who know skills like climbing and swimming';'-';'1';'Greater Chennai Corporation Volunteer'
'019.001';'019.001';'Greater Chennai Corporation';'Greater Chennai Corporation';'will';'request assistance';'TNDRF';'-';'-';'-';'-';'4';'Greater Chennai Corporation'
'019';'019';'State Disaster Response Force';'SDRF';'will';'receive/ perform training of police and fire services in disaster relief.';'police and fire services';'-';'-';'-';'-';'1';'SDRF Police Fire Services 019.001'
'018';'018';'Fire and Rescue Services Department';'-';'must';'undertake rescue activities';'for people marooned in flood or debris';'-';'-';'-';'-';'2';'Fire and Rescue Services Department'
'017.001';'017.001';'"Line Departments in Chennai" (Departments of State? or GCC?)';'GCC State Government';'must';'depute staff';'line department Staff';'Control Room';'-';'to ensure 24/7 staffing';'-';'4';'GCC State Government Control Room'
'Reg-ControlRoom-Reporting';'017';'Control Room';'Control Room';'must';'communicate updates to the';'State Relief Commissioner';'-';'-';'-';'-';'2';'017.001 Control Room State Relief Commissioner'
'Reg-ControlRoom-SEOC';'016';'Control Room';'Control Room';'must';'Communicate information recieved';'from SEOC (sic)';'-';'-';'-';'-';'2';'Control Room Greater Chennai Corporation SEC'
'Reg-StatePolicy';'014';'Revenue Administration and Disaster Management Department';'-';'must';'issue Government Orders and publish policy,';'Government Orders';'-';'when given approval by the SDMA, State Executive Committee and the Commissioner of Revenue Administration';'-';'-';'5';'Reg-Policy-Approval'
'Reg-Policy-Approval';'013.001';'SDMA, State Executive Committee and the Commissioner of Revenue Administration';'State Disaster Management Authority (SDMA) State Executive Committee State Relief Commissioner';'must';'give approvals and instructions';'Disaster Reduction Policy';'-';'-';'-';'-';'5';'State Disaster Management Authority (SDMA) State Executive Committee State Relief Commissioner'
'Reg-SEC';'012';'State Executive Committee';'State Executive Committee';'must';'establish disaster specific cells to analyse the risk profile';'Disaster Risk Reduction Strategies';'SDMA';'-';'approved by SDMA';'-';'3';'State Executive Committee'
'Reg-StateDMA';'010';'State Disaster Management Authority';'State Disaster Management Authority (SDMA)';'must';'coordianate Disaster Response and Mitigation';'-';'-';'-';'“All measures for mitigation, preparedness, response and recovery are undertaken under the guidance and supervision of the Authority.';'-';'3';'State Disaster Management Authority (SDMA) Chief Minister'
'009.007';'009.007';'Control Room';'-';'must';'coordinate with';'Control Rooms at Secretariat, Emergency Operation Center and Commissionerate or Revenue Administration';'-';'-';'-';'-';'4';'Reg-ControlRoom1'
'009.006';'009.006';'Public Relation Officer';'-';'must';'collect and publish';'Press Releases';'Control Room';'-';'with approval of Commissioner';'-';'2';'Greater Chennai Corporation Commissioner GCC'
'009.005';'009.005';'Control Room';'-';'must';'form for communication';'a Whatsapp Group';'Officials engaged in flood work';'-';'-';'-';'1';''
'009.004';'009.004';'Control Room';'-';'must';'get flood status for reservoirs';'Public Works Department';'Reservoirs at';'-';'periodically';'-';'2';''
'009.003';'009.003';'Control Room';'-';'must';'coordination activities related to flood Mitigation';'"Other Departments" (on the Relief Committee?)';'-';'at all times';'-';'-';'3';''
'009.002';'009.002';'Control Room';'-';'must';'submit hourly reports from Zonal Officers';'Commissioner, GCC Commissioner GCC';'-';'(in an emergency)';'Containing (water stagnation, tree fall, status of subways, relief centres, food packets issued, pumps utilized [...], evacuation [...], etc.)';'-';'2';'Commissioner GCC'
'009.001';'009.001';'Control Room';'Control Room';'must';'collect rainfall intensity';'Metrological Department';'-';'Daily';'-';'-';'1';'Control Room IMD'
'Reg-ControlRoom-Functions';'009';'Control Room';'Control Room';'must';'Coordinate activities for rescue, relief, and mitigation';'-';'-';'-';'while providing the commissioner with hourly updates';'-';'2';'Control Room 009.001 009.003 009.002'
'008.003';'008.003';'(Officers of Line Departments)';'-';'must';'pool resources';'Control Room';'-';'during Monsoons OR during Emergencies';'-';'-';'2';'ReliefCommittee Control Room'
'008.002';'008.002';'Deputy Commissioner (Works)';'Deputy Commissioners';'must';'supervise';'Control Room';'with Staff';'-';'-';'-';'4';'Deputy Commissioners Control Room'
'008.001';'008.001';'Control Room';'Control Room';'must';'be located';'Headquarters (Ripon Building)';'Greater Chennai Corporation';'at all times';'-';'-';'1';'Control Room GCC'
'Reg-ControlRoom1';'008';'Greater Chennai Corporation';'GCC';'must';'establish';'Control Room';'-';'-';'-';'-';'1';'008.001 008.002 008.003 GCC Control Room'
